Pool_name,n_cells,status
PD-Set45-E1,1039,removed
PD-Set37-E2,2418,removed
PD-Set40-C1,3139,kept
PD-Set79-C2,4022,removed
PD-Set6-C1,4248,kept
PD-Set23-E2,7773,kept
PD-Set85-E1,9445,kept
PD-Set21-C2,10094,removed
PD-Set12-C1,11479,kept
PD-Set85-E2,12561,kept
PD-set1-1,12963,kept
PD-Set83-E2,14286,kept
PD-Set37-E1,14445,kept
PD-Set45-E2,14551,kept
PD-Set25-E2,14719,kept
PD-Set84-E1,14747,kept
PD-Set47-C1,14827,kept
PD-Set42-E2,14926,kept
PD-Set84-E2,14978,kept
PD-Set82-E2,15082,kept
PD-Set66-C2,15083,kept
PD-Set81-E2,15233,kept
PD-Set82-E1,15648,kept
PD-Set46-E1,16049,kept
PD-Set62-E2,16072,kept
PD-Set67-C2,16265,kept
PD-Set43-E2,16307,kept
PD-Set67-C1,16406,kept
PD-Set12-C2,16425,kept
PD-Set26-E2,16515,kept
PD-Set15-E2,16558,kept
PD-Set64-E1,16914,kept
PD-Set25-E1,17078,kept
PD-Set61-E1,17103,kept
PD-Set15-E1,17134,kept
PD-Set42-E1,17284,kept
PD-Set83-E1,17353,kept
PD-Set72-C2,17359,kept
PD-Set52-C1,17447,kept
PD-Set66-C1,17610,kept
PD-Set63-E1,17749,kept
PD-Set43-E1,17767,kept
PD-Set49-C1,17869,kept
PD-set2-2,17976,kept
PD-Set26-E1,18051,kept
PD-Set72-C1,18108,kept
PD-Set46-E2,18272,kept
PD-Set63-E2,18352,kept
PD-Set38-E1,18353,kept
PD-set4-1,18471,kept
PD-Set48-E2,18506,kept
PD-Set81-E1,18558,removed
PD-Set44-E1,18699,kept
PD-Set23-E1,18814,kept
PD-set4-2,18863,kept
PD-Set38-E2,18885,kept
PD-Set10-C1,18958,kept
PD-Set20-C1,19047,kept
PD-set5-2,19078,kept
PD-Set80-C2,19214,kept
PD-Set24-E2,19254,kept
PD-Set80-C1,19300,kept
PD-Set11-C2,19376,kept
PD-Set60-E1,19377,kept
PD-Set29-E2,19431,kept
PD-Set24-E1,19444,kept
PD-Set49-C2,19457,kept
PD-Set62-E1,19515,kept
PD-Set78-C2,19702,kept
PD-Set44-E2,19852,kept
PD-Set65-E1,19862,kept
PD-Set64-E2,19940,kept
PD-Set10-C2,20021,kept
PD-Set29-E1,20033,kept
PD-set5-1,20058,kept
PD-Set55-C2,20101,kept
PD-Set48-E1,20118,kept
PD-Set20-C2,20177,kept
PD-Set11-C1,20362,kept
PD-Set22-C2,20476,kept
PD-Set17-E2,20493,kept
PD-Set52-C2,20599,kept
PD-Set65-E2,20674,kept
PD-set2-1,20705,kept
PD-Set76-C2,20721,kept
PD-Set32-E1,20729,kept
PD-Set27-E1,20762,kept
PD-Set69-C2,20794,kept
PD-Set68-C1,20890,kept
PD-Set19-E1,21010,kept
PD-set3-2,21031,kept
PD-Set71-C1,21049,kept
PD-Set32-E2,21055,kept
PD-Set61-E2,21153,kept
PD-Set71-C2,21212,kept
PD-Set68-C2,21271,kept
PD-Set22-C1,21271,kept
PD-set6A-1,21380,kept
PD-Set54-C2,21590,kept
PD-Set31-E2,21598,kept
PD-Set27-E2,21617,kept
PD-set3-1,21642,kept
PD-Set18-C2,21680,kept
PD-Set28-E2,21830,kept
PD-Set19-E2,21839,kept
PD-Set74-C2,21851,kept
PD-Set69-C1,21915,kept
PD-Set78-C1,22230,kept
PD-Set50-C2,22372,kept
PD-Set41-C2,22413,kept
PD-Set9-C1,22468,kept
PD-Set76-C1,22522,kept
PD-Set18-C1,22527,kept
PD-Set55-C1,22528,kept
PD-Set41-C1,22664,kept
PD-Set28-E1,22725,kept
PD-Set54-C1,22747,kept
PD-Set74-C1,22980,kept
PD-Set77-C1,22991,kept
PD-Set30-E2,23071,kept
PD-Set73-C1,23179,kept
PD-Set30-E1,23189,kept
PD-Set40-C2,23494,kept
PD-Set70-C2,23499,kept
PD-Set70-C1,23727,kept
PD-Set14-C2,23944,kept
PD-set1-2,23948,kept
PD-Set31-E1,23957,kept
PD-Set21-C1,24002,kept
PD-Set8-C2,24009,kept
PD-Set77-C2,24027,kept
PD-Set8-C1,24120,kept
PD-Set73-C2,24136,kept
PD-Set60-E2,24168,kept
PD-Set50-C1,24224,kept
PD-set6A-2,24258,kept
PD-Set16-C2,24462,kept
PD-Set75-C2,24529,kept
PD-Set35-C1,24760,kept
PD-Set36-C1,24786,kept
PD-Set9-C2,24805,kept
PD-Set13-C2,24892,kept
PD-Set75-C1,25156,kept
PD-Set59-C2,25258,kept
PD-Set36-C2,25317,kept
PD-Set35-C2,25400,kept
PD-Set6-C2,25907,kept
PD-Set47-C2,25948,kept
PD-Set33-C2,26021,kept
PD-Set51-C1,26033,kept
PD-Set7-C2,26154,kept
PD-set7A-2,26199,kept
PD-Set14-C1,26335,kept
PD-Set13-C1,26375,kept
PD-Set7-C1,26456,kept
PD-set7A-1,26870,kept
PD-Set51-C2,26880,kept
PD-Set59-C1,27268,kept
PD-Set16-C1,27360,kept
PD-Set39-C2,28174,kept
PD-Set33-C1,28234,kept
PD-Set39-C1,28459,kept
PD-Set34-C2,28495,kept
PD-Set34-C1,30083,kept
PD-Set53-C2,31041,kept
PD-Set53-C1,34088,kept
