LAB BATCH SET,n_cells_high_rep,n_cells_low_rep,diff
PD-Set10-C,20021,18958,5.30942510364118
PD-Set11-C,20362,19376,4.84235340339849
PD-Set12-C,16425,11479,30.1126331811263
PD-Set13-C,26375,24892,5.62274881516588
PD-Set14-C,26335,23944,9.07917220429087
PD-Set15-E,17134,16558,3.36173689739699
PD-Set16-C,27360,24462,10.5921052631579
PD-Set18-C,22527,21680,3.75993252541395
PD-Set19-E,21839,21010,3.79596135354183
PD-Set20-C,20177,19047,5.60043614015959
PD-Set22-C,21271,20476,3.73748295801796
PD-Set23-E,18814,7773,58.6850217922823
PD-Set24-E,19444,19254,0.977165192347254
PD-Set25-E,17078,14719,13.8130928680173
PD-Set26-E,18051,16515,8.50922386571381
PD-Set27-E,21617,20762,3.95522042836656
PD-Set28-E,22725,21830,3.93839383938394
PD-Set29-E,20033,19431,3.00504168122598
PD-Set30-E,23189,23071,0.508861960412264
PD-Set31-E,23957,21598,9.84680886588471
PD-Set32-E,21055,20729,1.548325813346
PD-Set33-C,28234,26021,7.83806757809733
PD-Set34-C,30083,28495,5.27872885018117
PD-Set35-C,25400,24760,2.51968503937008
PD-Set36-C,25317,24786,2.09740490579453
PD-Set38-E,18885,18353,2.81705056923484
PD-Set39-C,28459,28174,1.00144066903264
PD-Set40-C,23494,3139,86.6391419085724
PD-Set41-C,22664,22413,1.10748323332157
PD-Set42-E,17284,14926,13.642675306642
PD-Set43-E,17767,16307,8.21748184837058
PD-Set44-E,19852,18699,5.8079790449325
PD-Set46-E,18272,16049,12.1661558669002
PD-Set47-C,25948,14827,42.8587945121011
PD-Set48-E,20118,18506,8.01272492295457
PD-Set49-C,19457,17869,8.16158708947937
PD-Set50-C,24224,22372,7.64531043593131
PD-Set51-C,26880,26033,3.15104166666667
PD-Set52-C,20599,17447,15.3017136754211
PD-Set53-C,34088,31041,8.93862942971134
PD-Set54-C,22747,21590,5.08638501780455
PD-Set55-C,22528,20101,10.7732599431818
PD-Set59-C,27268,25258,7.37127768813261
PD-Set6-C,25907,4248,83.60288725055
PD-Set60-E,24168,19377,19.8237338629593
PD-Set61-E,21153,17103,19.1462203942703
PD-Set62-E,19515,16072,17.6428388419165
PD-Set63-E,18352,17749,3.2857454228422
PD-Set64-E,19940,16914,15.1755265797392
PD-Set65-E,20674,19862,3.92763857985876
PD-Set66-C,17610,15083,14.3498012492902
PD-Set67-C,16406,16265,0.859441667682555
PD-Set68-C,21271,20890,1.79117107799351
PD-Set69-C,21915,20794,5.11521788729181
PD-Set7-C,26456,26154,1.14151799213789
PD-Set70-C,23727,23499,0.960930585409028
PD-Set71-C,21212,21049,0.768432962474071
PD-Set72-C,18108,17359,4.13629335100508
PD-Set73-C,24136,23179,3.96503148823334
PD-Set74-C,22980,21851,4.91296779808529
PD-Set75-C,25156,24529,2.49244712990937
PD-Set76-C,22522,20721,7.9966255217121
PD-Set77-C,24027,22991,4.31181587380863
PD-Set78-C,22230,19702,11.3720197930724
PD-Set8-C,24120,24009,0.460199004975124
PD-Set80-C,19300,19214,0.44559585492228
PD-Set82-E,15648,15082,3.61707566462168
PD-Set83-E,17353,14286,17.6741773756699
PD-Set84-E,14978,14747,1.54226198424356
PD-Set85-E,12561,9445,24.8069421224425
PD-Set9-C,24805,22468,9.42148760330579
PD-set1,23948,12963,45.8702188074161
PD-set2,20705,17976,13.1803912098527
PD-set3,21642,21031,2.82321412069125
PD-set4,18863,18471,2.07814239516514
PD-set5,20058,19078,4.88583108983947
PD-set6A,24258,21380,11.8641272982109
PD-set7A,26870,26199,2.4972087830294
